country_iso3,country_name,year,gdp_usd,gdp_per_capita_usd,gni_usd,population,total_imports_usd,total_exports_usd,merchandise_imports_usd,merchandise_exports_usd,trade_pct_gdp,trade_balance_usd,tariff_weighted_all,tariff_simple_all,tariff_weighted_manuf,tariff_weighted_primary,food_imports_pct,fuel_imports_pct,manuf_imports_pct,food_exports_pct,fuel_exports_pct,manuf_exports_pct,import_concentration_hhi,export_concentration_hhi,exchange_rate_lcu_per_usd
CAN,"Canada",2023,2196593836347.42,54847.5370112652,2162420412601.59,40049088,729991623300.122,732380673864.391,570873000000,570079000000,66.5745425015033,2291175240.8773,,,,,8.46189467887988,6.88940927675925,76.010766049991,12.8027235232881,25.1997448504993,44.7120332491257,71.6326985940207,90.6494512875188,1.3499086407939
CAN,"Canada",2024,2270076189683.46,55015.7066917734,2234537683874.5,41262329,741233987715.737,737073649328.937,573098000000,567744000000,65.1214987304374,-4264402023.461,,,,,9.2023002049639,6.50924221153143,75.5203211667628,13.5312278758624,27.6974112165315,42.2747692230746,,,1.36935976604092
CHN,"China",2015,11280814787468.9,8175.33285077393,11228032678981.8,1379860000,2003260696068.67,2362097053274.6,1679566000000,2273468000000,38.6971848362625,357870764281.273,4.52,7.82,5.7,2.07,6.66132360581687,12.9271912758671,60.9771808756857,2.77868735771079,1.2272664163092,94.3003313730696,74.1289719590141,72.9790413393489,6.22748867298455
CHN,"China",2016,11456024084962,8254.86859320357,11400323697361.9,1387790000,1944490534275.23,2199974853570.14,1587925000000,2097632000000,36.177170692978,255737088242.15,3.54,7.88,4.33,2.34,6.79703829564838,12.0917339150655,61.9149023647181,3.1561810897063,1.28100094525523,93.7167028020422,74.2713704506442,72.6568869325293,6.6444778294468
CHN,"China",2017,12537559062282.9,8979.67652709856,12521428872625.2,1396215000,2208518918632.2,2424216052098.35,1843792000000,2263346000000,36.95085261586,217009899933.948,3.83,8.46,4.53,2.66,6.60739484217093,14.5851037046112,59.7631678924572,3.04846225436294,1.5635573554021,93.511711476449,72.7971049509091,72.032825322013,6.75875508633597
CHN,"China",2018,14147765772963.8,10085.6638148819,14086737564950.9,1402760000,2564121910994.89,2655609176087.45,2135748000000,2486695000000,36.8943843914718,87905148451.8738,3.39,7.56,4.29,1.99,6.18908395984885,17.4688169187818,58.3143167114541,2.91056514656763,1.86764407076313,93.2388307531011,71.4793200073562,71.7700842563657,6.61595717735439
CHN,"China",2019,14560167101283.4,10342.9009524335,14520157750328,1407745000,2521036548136.79,2641188436776.47,2078386000000,2499457000000,35.4544350281407,119201790618.831,2.53,5.39,3.13,1.64,7.02820185377525,17.8562823008297,57.0741304193143,2.8745063704736,1.87465304454538,92.8740842473991,70.2947021634647,69.9021687721497,6.90838500992901
CHN,"China",2020,14996414166715.1,10627.4637989619,14878808399124.3,1411100000,2409650385964.34,2739785089628.44,2065964000000,2589952000000,34.337778473884,333452859657.031,2.47,5.32,2.74,2.04,8.21017119906821,14.0746971565506,59.939731581917,2.68970992010765,1.2143685449396,93.5416579304527,70.7799444860396,70.8636322462359,6.90076726944925
CHN,"China",2021,18201698719564,12887.4357242941,18077551859016.4,1412360000,3132116155606.12,3537510275663.96,2679412000000,3316022000000,36.6428789643754,406016032305.313,2.31,5.31,2.57,2.04,8.11967397205663,16.0586526598696,55.5816167399504,2.32278572074659,1.29170537075172,93.4459167956813,70.2839107901685,69.4428915733016,6.44897518024316
CHN,"China",2022,18316765021690.2,12970.6056414327,18163546112470.6,1412175000,3166016135468.4,3705070541732.88,2706507000000,3544434000000,37.512555678171,538376630373.047,2.18,5.36,2.45,2,8.50986398807462,20.6343617882309,51.4861450753649,2.30024438523057,1.79009011301844,92.6463369453287,69.3711528114981,67.4104099429912,6.73715811237119
CHN,"China",2023,18270356654533.2,12951.1782397043,18136282647171.8,1410710000,3167502597276.28,3544871083631.02,2556941000000,3379044000000,36.7391496938394,379222511838.297,,,,,8.98411591719164,21.0332541381132,48.6351862953955,2.45628079906291,1.8075643209073,91.8821582914508,68.0586812991688,65.6824152432495,7.08399842343631
CHN,"China",2024,18729668435848,13293.1162269366,18600888837513,1408975000,3280170243047.19,3828873971971.62,2583218000000,3575795000000,37.9560601372544,554121332336,,,,,8.10751053290446,20.4222505719016,49.2920184597896,2.42684855512431,1.49786393169736,91.1612165960274,,,7.19749110789917
